,User,Follows_Count,Language,Date_Tweet,Source_of_Tweet,Tweet,Hashtags,Place
8538,fusealier,126,en,2010-06-28 23:58:00+00:00,Twitter Web Client,Pretty sure #worldcup soccer will not change your life...I guarantee the #gulfpilspill will...that's a promise,"['worldcup', 'gulfpilspill']",
8539,t_ILY_a,604,en,2010-06-28 23:57:55+00:00,Twitter Web Client,the #worldcup is #awesome!!,"['worldcup', 'awesome']",
8540,iheartjustin6,2,en,2010-06-28 23:57:55+00:00,Twitter Web Client,HE IS SO TALENTED!!! HE can drive now IS THERE NOTHING HE CANT DO!! http://shortlinks.co.uk/1svo Michel Bastos #worldcup Daniel Alves,['worldcup'],
8541,SoccerJock007,16968,en,2010-06-28 23:57:52+00:00,Hootsuite,World Cup viewing sets two impressive records in the U.S. |  http://ow.ly/24shD   #WorldCup,['WorldCup'],
8542,iheartjustin002,0,en,2010-06-28 23:57:52+00:00,Twitter Web Client,only amazing people can drive in ATLANTA! http://simurl.com/tagmer Mick Jagger Daniel Alves Venha Holanda CHILE CTM #worldcup,['worldcup'],
8543,IheartJustin03,0,en,2010-06-28 23:57:46+00:00,Twitter Web Client,I CANT BELIEB HE ISNT UNLICENSED. http://ucuuy.notlong.com Daniel Alves #worldcup Mick Jagger CALA BOCA GALVAO CHILE CTM Laranja Mecâca,['worldcup'],
8544,SPORTSMEDIAWRLD,3599,en,2010-06-28 23:57:34+00:00,Twitter Web Client,"The Grades are in for the #USA #WorldCup Team after Exit, Both Good and Bad But the Coach Will Be Reviewed http://bit.ly/d1tFE0","['USA', 'WorldCup']",
8545,shutuppaige,173,en,2010-06-28 23:57:33+00:00,Twitter for BlackBerry®,I GOT A VUVUZELA!!!!!!!! SO PSYCHED. i can't wait to watch the #worldcup games tomorrow WITH MY FREAKING VUVUZELA.,['worldcup'],
8546,hellomotow8,323,en,2010-06-28 23:57:33+00:00,Twitter Web Client,Just completed http://www.worldshardestgame3.com ! #rappersbetterthansouljaboy Fonzworth Bentley Martin Amis Venha Holanda #worldcup,"['rappersbetterthansouljaboy', 'worldcup']",
8547,IheartJustin03,0,en,2010-06-28 23:57:32+00:00,Twitter Web Client,NOT GONNA LIE THIS IS MAKING ME BLUSH. http://ucuuy.notlong.com #worldcup Venha Holanda Michel Bastos Mick Jagger Felipe Melo,['worldcup'],
8548,nwjerseyliz,11603,en,2010-06-28 23:57:32+00:00,Twitter Web Client,You know you've got #WorldCup-itis when you start substituting a country's Twitter hashtag for the name of the country in other contexts.,['WorldCup'],
8549,mariayells,617,en,2010-06-28 23:57:30+00:00,Twitter Web Client,OH MY GOD IT WAS A PENALTY #svk #ned #worldcup #replay,"['svk', 'ned', 'worldcup', 'replay']",
8550,EnmanuelTaveras,366,en,2010-06-28 23:57:28+00:00,Twitter Web Client,#worldcup #bra and #ger GO!,"['worldcup', 'bra', 'ger']",
8551,BarakJames,141,en,2010-06-28 23:57:24+00:00,Twitter Web Client,"Is the #WorldCup over yet??  No??  Alright, just checkin'....",['WorldCup'],
8552,hellomotow8,323,en,2010-06-28 23:57:10+00:00,Twitter Web Client,Addicted to http://www.worldshardestgame3.com #swapawordinafilmformartinamis #rappersbetterthansouljaboy #worldcup Steve Carell Felipe Melo,"['swapawordinafilmformartinamis', 'rappersbetterthansouljaboy', 'worldcup']",
8553,iheartjustin002,0,en,2010-06-28 23:57:09+00:00,Twitter Web Client,"i wish i could drive, he is so amazing. http://url.co.uk/0rp6ly CALA BOCA GALVAO #worldcup Michel Bastos Laranja Mecâca Daniel Alves",['worldcup'],
8554,kaira_rosa,109,en,2010-06-28 23:56:58+00:00,Twitter Web Client,@brian_littrell Are you watching the #worldcup ????? SAY CHIRP FOR ME PLEASE!!! :D #bra,"['worldcup', 'bra']",
